TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,UserCityName,UserCityCountryId,AttractionCityName,AttractionCityCountryId,ContinentName,RegionName,RegionContinentId,CountryName,CountryRegionId,AttractionType,Season,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionVisitCount,VisitModePopularity,AttractionTypePopularity
5982,46352,2018,12,2,640,5,5,20,150,6757.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Greece,20,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,21620,13251
5984,77103,2018,10,2,640,5,5,21,163,3803.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
5985,41749,2018,12,2,640,5,3,14,101,3225.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Indonesia,14,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,21620,13251
5986,97,2018,11,5,640,5,2,8,51,859.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,4525,13251
5987,3745,2018,12,4,640,3,3,14,106,3551.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Singapore,14,Nature & Wildlife Areas,Winter,3.2,5,4.267085922109411,13198,10945,13251
5988,45626,2018,12,2,640,5,2,8,51,1631.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Winter,4.0,4,4.267085922109411,13198,21620,13251
5989,44691,2018,12,5,640,4,2,8,51,1376.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Winter,4.0,2,4.267085922109411,13198,4525,13251
5991,1871,2018,2,2,640,5,4,15,109,5011.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,21620,13251
5992,45798,2018,11,4,640,4,3,13,93,2708.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,India,13,Nature & Wildlife Areas,Fall,4.0,2,4.267085922109411,13198,10945,13251
5993,17224,2018,12,2,640,4,4,15,109,1434.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Winter,4.0,1,4.267085922109411,13198,21620,13251
5994,44114,2018,12,2,640,4,3,14,106,3551.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Singapore,14,Nature & Wildlife Areas,Winter,4.0,1,4.267085922109411,13198,21620,13251
5995,25176,2018,12,3,640,5,3,14,106,3551.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Singapore,14,Nature & Wildlife Areas,Winter,4.25,4,4.267085922109411,13198,15217,13251
6001,50031,2018,11,5,640,4,2,8,51,2114.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,4.0,1,4.267085922109411,13198,4525,13251
6003,65966,2018,11,2,640,5,5,21,163,8068.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,4.0,2,4.267085922109411,13198,21620,13251
6004,50136,2018,12,2,640,5,5,20,150,6781.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Greece,20,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,21620,13251
6005,56111,2018,11,5,640,4,4,15,109,4085.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Fall,4.0,3,4.267085922109411,13198,4525,13251
6006,56920,2018,12,2,640,5,5,21,163,781.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Winter,3.6666666666666665,9,4.267085922109411,13198,21620,13251
6007,60182,2018,10,5,640,5,5,18,136,6329.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Azerbaijan,18,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,4525,13251
6008,27406,2018,11,2,640,5,5,21,163,1011.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6009,26738,2018,11,2,640,5,4,15,109,1434.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,21620,13251
6010,10930,2018,10,4,640,3,5,21,163,8339.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,3.0,1,4.267085922109411,13198,10945,13251
6011,71443,2018,12,4,640,5,3,12,87,2575.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Saudi Arabia,12,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,10945,13251
6012,30532,2018,11,2,640,5,3,14,101,3095.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Indonesia,14,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6014,54839,2017,12,2,640,5,2,8,51,1284.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Winter,4.0,6,4.267085922109411,13198,21620,13251
6015,61335,2018,11,2,640,5,2,8,51,50.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6016,55942,2018,11,2,640,5,4,15,109,1434.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6017,9962,2018,11,2,640,5,4,15,109,4934.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Fall,4.3,10,4.267085922109411,13198,21620,13251
6018,88053,2018,11,3,640,4,2,8,51,826.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,4.0,1,4.267085922109411,13198,15217,13251
6019,35340,2018,11,3,640,5,4,15,109,535.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Fall,4.0,2,4.267085922109411,13198,15217,13251
6020,8007,2018,11,2,640,5,5,21,163,781.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,21620,13251
6022,30791,2017,12,5,640,5,5,21,163,9066.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,4525,13251
6023,52737,2017,12,2,640,5,5,17,123,5782.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Czech Republic,17,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,21620,13251
6024,65147,2018,11,2,640,5,5,21,163,1396.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6026,52515,2018,11,3,640,4,2,8,51,1375.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,4.0,2,4.267085922109411,13198,15217,13251
6027,83532,2018,11,2,640,5,2,8,51,1376.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6029,51849,2018,11,4,640,5,5,21,163,8837.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,10945,13251
6030,82541,2018,11,2,640,5,2,8,51,1473.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,4.333333333333333,3,4.267085922109411,13198,21620,13251
6031,66746,2018,11,3,640,4,2,8,51,1496.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,4.0,1,4.267085922109411,13198,15217,13251
6032,12773,2018,10,2,640,4,5,21,163,426.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,3.5,2,4.267085922109411,13198,21620,13251
6033,16426,2018,11,2,640,5,5,21,162,7858.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Netherlands,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6034,35022,2018,2,2,640,3,5,21,159,7372.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,France,21,Nature & Wildlife Areas,Winter,3.5,2,4.267085922109411,13198,21620,13251
6035,52473,2018,11,2,640,5,5,17,125,5824.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Germany,17,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,21620,13251
6036,29078,2018,7,4,640,5,3,12,89,2623.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,United Arab Emirates,12,Nature & Wildlife Areas,Summer,5.0,1,4.267085922109411,13198,10945,13251
6037,10446,2018,11,2,640,5,3,13,93,2819.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,India,13,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,21620,13251
6038,46539,2018,11,2,640,5,4,15,109,3915.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
6039,85148,2018,11,2,640,5,5,21,163,426.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,4.0,2,4.267085922109411,13198,21620,13251
6040,28441,2018,11,5,640,5,5,21,163,426.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,4525,13251
6041,50641,2018,11,2,640,5,2,8,50,611.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,Mexico,8,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
